replication,metric,value
35,recall,0.3225806451612903
35,f_meas,0.14925373134328357
35,roc_auc,0.8224621984306674
35,pr_auc,0.08992076699714481
36,accuracy,0.9593922402098218
36,precision,0.12103746397694524
36,recall,0.22580645161290322
36,f_meas,0.1575984990619137
36,roc_auc,0.8168840745279687
36,pr_auc,0.09190320292697253
37,accuracy,0.957221669530614
37,precision,0.12335958005249344
37,recall,0.25268817204301075
37,f_meas,0.1657848324514991
37,roc_auc,0.8197263015045455
37,pr_auc,0.08802978376105736
38,accuracy,0.9454644116849055
38,precision,0.10436432637571158
38,recall,0.2956989247311828
38,f_meas,0.15427769985974754
38,roc_auc,0.8203491977768612
38,pr_auc,0.0934329921088557
39,accuracy,0.9552319797413403
39,precision,0.11083123425692695
39,recall,0.23655913978494625
39,f_meas,0.1509433962264151
39,roc_auc,0.824225299034721
39,pr_auc,0.09064362162416471
40,accuracy,0.9509812788278919
40,precision,0.10964912280701754
40,recall,0.26881720430107525
40,f_meas,0.1557632398753894
40,roc_auc,0.8170626101010581
40,pr_auc,0.08862376453080477
41,accuracy,0.9502577552681559
41,precision,0.11440677966101695
41,recall,0.2903225806451613
41,f_meas,0.1641337386018237
41,roc_auc,0.8312628646997091
41,pr_auc,0.08170565247502282
42,accuracy,0.9395857827620512
42,precision,0.10491803278688525
42,recall,0.34408602150537637
42,f_meas,0.1608040201005025
42,roc_auc,0.8277952686589456
42,pr_auc,0.08825991420762297
43,accuracy,0.9484489463688162
43,precision,0.09663865546218488
43,recall,0.24731182795698925
43,f_meas,0.13897280966767372
43,roc_auc,0.8212651198858955
43,pr_auc,0.08034526486880023
44,accuracy,0.9508908383829249
44,precision,0.10940919037199125
44,recall,0.26881720430107525
44,f_meas,0.15552099533437014
44,roc_auc,0.8168828381320332
44,pr_auc,0.08713176184581095
45,accuracy,0.9530614090621325
45,precision,0.12244897959183673
45,recall,0.2903225806451613
45,f_meas,0.1722488038277512
45,roc_auc,0.8290380938533318
45,pr_auc,0.09947900423854925
46,accuracy,0.9581260739802839
46,precision,0.12668463611859837
46,recall,0.25268817204301075
46,f_meas,0.1687612208258528
46,roc_auc,0.8182191348591449
46,pr_auc,0.09206351278736626
47,accuracy,0.9481776250339151
